Title,Unit(grams),Price(NRs)
"LG 55"" UHD 4K Smart LED TV - 55UQ",,103990.00
CG Refrigerator 185 Ltrs - CGS,,25289
BALTRA BRF 150DD Fancy  Direct Cooling Double Door Refrigerator,,24999.00
Electron  El-1007 Cordless Kettle 1.,,1250.00
LG Microwave 32 Ltr. - MC,,33989
"Electron Electric Jug/ Kettle EL 1005, 1.8L, 1500W, 220V~/",,1190.00
IFB 25BC4 Conv  Convection Microwave  Oil Free Cooking  Auto Cook Menus,,25000
HISENSE  Bottom Mount Double Door Refrigerator (Silver),,35499.00
Electron 3 in -Purpose Electric Jug - 1034,,1790
LG Microwave 36 Ltrs. - MS,3636.0,29089
OnePlus 43Y1 108 cm () Full HD LED Smart Android TV,,69990.00
CG 32 Inch Smart LED TV - CG32L,,26289
Palsonic  HD LED Tv,,13990.00
Whirlpool Icemagic 190 Litres Single Door Refrigerator ( Prm Lumina Steel),,29699.00
Whirlpool  Triple  Doors Refrigerator 240Ltrs  Proton Roy  (Alpha Steel),,53610.00
CG Refrigerator 190 L - CGS,,30089
SAMSUNG RR20A274ACR -  Direct Cooling Single Door Refrigerator 2020 (Camellia Purple),,30500.00
"Wega 55 Inch  UHD Smart LED TV Double Glass - Android 11.0, 1.5GB Ram, 16GB Rom Model No 55W -X21",,58990.00
Indiana Bezel Less  LED TV ADS A Panel,,12200.00
"Palsonic Australia 32"" Bazelless HD Led Tv - Black",,26000.00
Electron El- Hot & Normal Water Dispenser,,3500.00
Hitachi  Grill  Microwave Oven (HMR-DG2012),,16999.00
Hisense  Hx39N2176F  Hd Led Tv,,29990.00
"GEM 100 L Direct-Cool Single Door Refrigerator (GRDN-, Dark Grey)",,17499.00
KONKA Refrigerator 215 Ltrs Single Door (KRF/KRFF/B),,30000.00
Rechargable Electronic Jar Water Pump,,399.00
DHI DH-SDR1854SG/RF/BF  Single Door Refrigerator,,25459
Idea  Double Glass  Led Tv,,10750.00
Electron  Cy-S Double Burner Gas Stove,,2949.00
LG Refrigerator 260 Ltrs - GLK.ARGQ,,57189
Electron  Whistle Electric Kettle  (Colour Assorted),,2249.00
Whirlpool Neofresh 245 Litres Frost Free Double Door Refrigerator With  Sense Deep Freez Technology Midnight Athena,,44799.00
"Hisense, RD-23DR4SRW1,  Refrigerator With Water Dispenser",,28445.00
Whirlpool 185 Liter 200 Genius CLS  Plus  Wine Single Door Refrigerator,,24025.00
Whirlpool 20 L Magicook  Microwave Oven,,10900.00
Samsung RR19T25CA6U/IM  Single Door Refrigerator,,31500.00
SAMSUNG RT28A32216R -  Frost Free Double Door Refrigerator (DIT) - Mystic Overlay Red,,51000.00
Whirlpool Microwave oven Magicook Pro  ( Black) Grill,25.0,17840.00
USB Rechargeable Electronic Jar Water Pump,,440.00
Videocon Refrigerator  Single Door,,25000.00
Godrej Mini Refrigerator . - CHOTUKOOL-BLACK,,16390.00
IFB  20Bc5  Convection Microwave - Black,,19990
Samsung  RT28A3022GS- Double Door Refrigerator,,45490.00
Sony 65 Inch 4K Ultra HD TV X80K Series: LED Smart Google TV with Dolby Vision HDR KD65X80K-,,202300.00
Automatic Electronic Kittle,,2232.00
Rechargeable Electronic Jar Water Pump,,449.00
"Samsung Ua32N 32"" Hd Led Tv - Black",,32950.00
GEM GRD-70HSWP  mini  Bar  () Direct Cool Single Door Refrigerator_ Hairline Silver,,15999.00
Idea  Glass Full HD LED Tv,,12570.00
Samsung RR19T25CA6R/6U  Single Door Refrigerator - RED,,31490.00
Videocon 32Dn5  Led Tv,,17999.00
Electron  El- Hot & Normal Water Dispenser,,3390.00
Electron  Automatic Gas Stove Single Burner,,2250.00
Automatic Water Dispenser Pump Automatic Water Dispenser With Rechargeable Battery Electron Water dispenser,,474
Samsung UA32T4400ARXHE  Smart Hd Led Tv,,32880.00
"VESTEL 24"" Inch Tempered Glass TV LED Television | IPS Panel | Dolby Sound | HDR | Free wall mount",,11990.00
Electron El725  Electric Whistle Kettle,,2190.00
Electron Whistle Kettle 6.0 L With  Warranty( ELEK-4626 ),,2365.00
Whirlpool Icemagic Powercool 185L Single Door Refrigerator( No.1 in Ice-Making    Warranty),,32640.00
Panasonic 197L Refrigerator-NR-A,,25909.00
Whirlpool Neo Fresh 265 Litres Frost Free Double Door Refrigerator( neo  PRM Wine Chromium ),,50125.00
"Videocon 24""  Hd Led Tv",,14990.00
Samsung  Rr20N2441S8  Single Door Refrigerator - Silver,,29500.00
USB Rechargeable Electronic Jar Water Pump,,399.00
Electron Multi Utility Electric Jug _ Egg boiler,,1200.00
Idea  Glass Full HD LED Tv Black,,12570.00
LG Refrigerator 285 L - GLM.APZQ,,65989
LG Refrigerator 471 Ltr - GLB,,106889
Samsung RT34T 46324R 314 Liters Digital Invertor 5. Double Door Refrigerator With Curd Maestro ( Rythmic Twirl Red),,69490.00
SAMSUNG 192ltr Refrigerator - RR19T25CA,,31500.00
LG Refrigerator 471 Ltr - GLM,,100190.00
WHIRLPOOL Protton  Litres Triple Door Frost Free Refrigerator  (Alpha Steel),,55500.00
Videocon Vnn32Hh  Led Tv,,17999.00
Baltra  Microwave Cuisine,,13845.00
Philips 32Pft4002  Led Tv -  (Black),,29999.00
LG Refrigerator 437 Ltr - GLB,,98789
Mini Portable Stand Fan (Assorted Color),,399.00
Della  Hd Led Tv,,15500.00
Whirlpool   Convection Microwave Oven With Touch,,19700.00
Electron El725  Electric Whistle Kettle,,2110.00
Gas Stove Single Burner (CY-109),,1790.00
Mini Portable Fan with stand,,530.00
Samsung 345 ltrs 5in1 convertible double door refrigerator (RT37M/IM),,70500.00
HS-HR-215CRPG-N- - Himstar Refrigerator,,33990.00
Videocon 50 Bezelless  UHD Android Smart Led Tv,,55500.00
Hisense RD-23DC4SS  Bottom Mount Double Door Refrigerator_Silver,,33425.00
SAMSUNG RT39C5531S8/IM  394 Litres 5 in  Digital Inverter Double Door Refrigerator with Twin Cooling Plus™ (Silver),,106699.00
Microwave  Solo,,10150.00
Electron Digital Gas Geyser/Water Heater 6 Ltr.  Model No. El-  Mitrata,,9400.00
Whirlpool 185 Liters  Single Door Refrigerator (200 Genius Cls Pls  Grey),,24025.00
"UA55AU7700 - SAMSUNG 55 Inch Crystal Ultra HD 4K Smart LED TV With Sleek design, Bixby, Narrow Bezel and Packed with Features(  )",,99999.00
Idea  HD LED Tv,,16035.00
IFB 25BC4 Conv  Convection Microwave  Oil Free Cooking | Auto Cook Menus | Fermentation | Yoghurt,,25299.00
Samsung RR19T25CA6R/6U  Single Door Refrigerator - RED,,31499.00
Whirlpool Neo Fresh  Frost Free Double Door Refrigerator (Chromium Steel),,50125.00
Electron Electric Kettle   (El-1023 ),,1390.00
"Palsonic Australia  32"" Full Hd Led Tv - Black",,17990.00
"Videocon 55"" Bazelless  UHD HDR Android Smart Led Tv",,66999.00
Electron Electric Jug 1.8 Lits Steel Body BL-1005,,1188.00
Whirlpool 185 Liter Single Door Refrigerator (200 Genius CLS PLUS  Grey),,23990.00
Electron  Crc-42 Rice Cooker - 4.,,5460.00
Samsung 192 Liters Single Door Refrigerator (RR20A),,30499.00
ELECTRON  Glass Top Automatic Gas Stove,,8030.00
Electron  Crc-56 Rice Cooker-5.,,7450.00
Della  HD Led Television,,21790.00
Whirlpool Magicook Pro  Black,,12950.00
Electron  El-1005 Cordless Kettle 1.,,1290.00
"NEW 2022 Thomson 32K 32"" Frameless Normal LED TV",,17565
Baltra Wow Table Top Water Dispenser,,3919.00
Samsung  Rr19M20A2Rh  Single Door Refrigerator - Scarlet Red,,26499.00
Whirlpool 24 L Convection MicrowaveOven (MAGICOOK PRO ),,21990.00
Cream Color Automatic Electronic Kittle,,1348.00
Whirlpool  260 Ltr Refrigerator  Fp,,58045.00
"Palsonic Australia  32""  Hd Led Tv - Black",,26000.00
